jid,formula,formation_energy_per_atom,optb88vdw_bandgap,mbj_bandgap,ehull,spacegroup_number,natoms,volume,bulk_modulus_kv,shear_modulus_gv
JVASP-105230,Pm2CuNi,-0.28964,0.0,na,0.0,,,,,
JVASP-102840,MnF4,-2.28572,0.049,na,0.0353,,,,,
JVASP-107571,CeU4N5,-1.58717,0.0,na,0.0,,,,,
JVASP-16914,MnS2,-0.35069,0.0,na,0.2774,,,,,
JVASP-104808,K2CeAgBr6,-1.52635,0.2,na,0.066,,,,,
JVASP-104160,H2C3O3,-0.65203,4.046,na,0.2163,,,,,
JVASP-48544,Li2VF4,-2.82485,1.493,na,0.1632,,,,,
JVASP-107138,Rb2NaIrF6,-2.49109,2.234,3.141,0.0,,,,,
JVASP-49762,Sr2CuO4,-2.04651,0.0,na,0.0,,,,,
JVASP-2253,Tm2SO2,-3.48666,3.208,4.733,0.0,,,,,
JVASP-107016,ZnCdAu2,-0.20903,0.0,0.0,0.0,,,,,
JVASP-105291,HoMgAg,-0.30816,0.0,na,0.0,,,,,
JVASP-16217,V2GeC,-0.49749,0.0,na,0.0,,,,,
JVASP-1660,RbSmS2,-2.0149,2.261,3.56,0.0,,,,,
JVASP-13333,Nd5AgSe8,-1.76477,1.462,1.715,0.0,,,,,
JVASP-12880,NaSbCl6,-0.99048,1.86,3.196,0.0,,,,,
JVASP-104695,SmMnCo3Cu,-0.04679,0.0,na,0.0812,,,,,
JVASP-106408,K3SbBr6,-1.29663,2.864,na,0.0733,,,,,
JVASP-1234,BaTiO3,-3.35196,1.749,2.169,0.0187,,,,,
JVASP-102581,Y2TlIn,-0.47026,0.0,0.0,0.0,,,,,
JVASP-101997,H10C5O2,-0.33077,5.069,na,0.1144,,,,,
JVASP-105364,TiMo2,-0.08335,0.0,na,0.0476,,,,,
JVASP-58153,BaCaTi4O8,-2.98247,0.0,na,0.2248,,,,,
JVASP-104591,LiMg2In,-0.19651,0.0,0.0,0.0,,,,,
JVASP-104970,BaSrN,-0.65574,0.0,na,0.0,,,,,
JVASP-14074,LiMnSe2,-0.57608,0.0,na,0.2086,,,,,
JVASP-102628,TbP2Pd2,-0.9164,0.0,0.0,0.0275,,,,,
JVASP-103818,H4C10S3O,0.07222,0.999,na,0.272,,,,,
JVASP-49856,K2Be2O3,-2.30046,3.686,6.437,0.0,,,,,
JVASP-14908,ZrSi2Ni2,-0.76256,0.0,na,0.0,,,,,
JVASP-107071,CoNi2S4,-0.41349,0.0,na,0.1002,,,,,
JVASP-107686,Pm2MgRu,-0.13553,0.0,0.0,0.0,,,,,
JVASP-107348,Er2Si3,-0.58052,0.0,0.0,0.0604,,,,,
JVASP-101885,SnH4C3O6,-0.929,3.44,5.109,0.1654,,,,,
JVASP-106796,InPt,-0.25793,0.0,0.0,0.2073,,,,,
JVASP-51235,BaNbTc2,0.92452,0.0,na,1.0892,,,,,
JVASP-28967,Te2MoW3Se2S4,-0.54751,0.202,na,0.2204,,,,,
JVASP-104754,Ce3GeS2,-1.75716,0.0,na,0.0,,,,,
JVASP-106746,Sm2O3,-3.45121,1.568,3.484,0.2205,,,,,
JVASP-105530,CeNdS2,-2.20636,0.0,na,0.0,,,,,
JVASP-21240,SrHfO3,-3.66645,4.062,na,0.0049,,,,,
JVASP-103883,TiH18C10O4,-0.40268,1.442,na,0.1875,,,,,
JVASP-104010,SnH12C6F2,-0.36836,4.363,na,0.1259,,,,,
JVASP-107186,LiMg2Au,-0.54397,0.0,0.0,0.0,,,,,
JVASP-2493,ZnCu2GeS4,-0.51187,0.325,na,0.0,,,,,
JVASP-107637,AgBiS2,-0.28353,0.261,0.519,0.0296,,,,,
JVASP-107239,ZnCo,0.03672,0.0,0.0,0.0889,,,,,
JVASP-2589,BaSe2,-1.46416,0.684,na,0.0174,,,,,
JVASP-104810,K2LaCuCl6,-1.85655,2.155,na,0.1041,,,,,
JVASP-101923,ZnH16C10O4,-0.39198,4.565,na,0.0857,,,,,
JVASP-106691,ZnCu3,-0.02764,0.0,na,0.0417,,,,,
JVASP-15586,CaMn2As2,-0.46778,0.0,0.0,0.0895,,,,,
JVASP-102530,MgAu3,-0.43152,0.0,0.0,0.0,,,,,
JVASP-102842,Li3MnO4,-2.0351,0.0,na,0.0087,,,,,
JVASP-105093,Cu2GeS4,-0.28142,0.0,0.0,0.0655,,,,,
JVASP-2256,ZnSiAs2,-0.18166,0.881,1.852,0.0,,,,,
JVASP-19081,KBO2,-2.4742,4.461,na,0.0,,,,,
JVASP-106966,MgSnRu2,-0.11259,0.0,0.0,0.0129,,,,,
JVASP-107139,Rb2NaTlBr6,-1.28787,0.723,na,0.0,,,,,
JVASP-13337,TiCo2O4,-1.83142,0.0,na,0.1222,,,,,
JVASP-106409,K3InCl6,-1.67144,3.577,na,0.0,,,,,
JVASP-18569,PrAl3Ni2,-0.6251,0.0,na,0.0054,,,,,
JVASP-106856,LiTiO2,-2.78988,0.0,na,0.0853,,,,,
JVASP-107461,LiZnCd2,-0.19312,0.0,0.0,0.0,,,,,
JVASP-104755,BaSrO2,-2.88269,2.764,na,0.0173,,,,,
JVASP-102787,Ce2CdSb4,-0.71992,0.0,na,0.0,,,,,
JVASP-12127,VOF3,-2.72616,3.138,3.465,0.0143,,,,,
JVASP-2373,Ga2HgSe4,-0.44452,0.872,2.075,0.0,,,,,
JVASP-42352,HfCrO4,-2.87844,0.0,na,0.0821,,,,,
JVASP-102730,LaCePd6,-0.87315,0.0,na,0.0,,,,,
JVASP-48307,Li2FeP4O12,-2.16168,0.612,na,0.0,,,,,
JVASP-15472,SmSi2Pt2,-0.97915,0.0,na,0.075,,,,,
JVASP-18719,ThHg3,-0.08632,0.0,na,0.0,,,,,
JVASP-105134,Cd3Ir,0.06411,0.0,0.0,0.0716,,,,,
JVASP-106921,Rb2HgAsI6,-0.71357,0.0,na,0.0248,,,,,
JVASP-44445,LiNbCrO4,-2.29783,0.0,na,0.15,,,,,
JVASP-15419,Zr2SnC,-0.84477,0.0,na,0.0,,,,,
JVASP-106624,Yb2MgTl,-0.33612,0.0,0.0,0.0,,,,,
JVASP-2817,K4IrO4,-1.4136,0.308,na,0.0,,,,,
JVASP-102582,Y3Si,-0.2832,0.0,na,0.2145,,,,,
JVASP-104696,Sm2Si3Pd,-0.8323,0.0,0.0,0.0,,,,,
JVASP-104923,TaNbAl6,-0.38095,0.0,0.0,0.0,,,,,
JVASP-52224,LiCu5F12,-1.77869,0.0,na,0.0035,,,,,
JVASP-102629,ThSiIr,-1.06083,0.0,0.0,0.0,,,,,
JVASP-104554,AlGaRu2,-0.44977,0.0,0.0,0.0026,,,,,
JVASP-102674,TaNbV,0.04344,0.0,na,0.0986,,,,,
JVASP-107511,TlPdPb,-0.16493,0.0,0.0,0.0,,,,,
JVASP-107072,CeGa3Ni,-0.52725,0.0,na,0.0052,,,,,
JVASP-105292,K2SnF6,-2.84205,5.325,8.287,0.0,,,,,
JVASP-106797,Ir4W,-0.08043,0.0,na,0.2018,,,,,
JVASP-107017,Zr2Se3S3,-1.2115,0.55,1.001,0.0189,,,,,
JVASP-106518,ErCuO3,-2.0154,0.0,na,0.2824,,,,,
JVASP-105447,Mn3B4Mo3,-0.3855,0.0,na,0.0243,,,,,
JVASP-107687,Pm2RuPt,-0.67681,0.0,na,0.0,,,,,
JVASP-107573,Cd2GaCuTe4,-0.32718,0.167,0.89,0.0088,,,,,
JVASP-105231,PaInPd2,-0.58833,0.0,na,0.0,,,,,
JVASP-13066,IO2F,-0.74086,2.765,4.455,0.0,,,,,
JVASP-42486,LiNbTe3O12,-1.39571,1.56,na,0.0305,,,,,
JVASP-107400,Na2PdAuF6,-1.67893,0.0,na,0.2319,,,,,
JVASP-104818,Rb2NdAgI6,-1.2312,2.626,na,0.0,,,,,
JVASP-106482,Al2FeRh,-0.71314,0.0,0.0,0.0025,,,,,
JVASP-105531,CeThCN,-1.0618,0.0,na,0.0064,,,,,
JVASP-18603,ErInAu2,-0.73864,0.0,na,0.0,,,,,
JVASP-106564,MgPb2,-0.02431,0.0,na,0.036,,,,,
JVASP-107140,Rb3BiBr6,-1.38027,3.385,na,0.0465,,,,,
JVASP-106747,Sm2P3Pt4,-1.09146,0.0,na,0.008,,,,,
JVASP-106969,NpHgO3,-2.20407,0.0,na,0.0002,,,,,
JVASP-106411,K3AsBr6,-1.23397,2.907,na,0.0607,,,,,
JVASP-103948,ZrH10C7O4,-0.54204,3.01,na,0.3073,,,,,
JVASP-13339,Nd2CdSe4,-1.50261,1.023,1.938,0.0142,,,,,
JVASP-48139,LiNiCO4,-1.45286,0.372,na,0.0234,,,,,
JVASP-14736,SmGa2,-0.68518,0.0,0.0,0.0,,,,,
JVASP-106857,Rb3BiF6,-2.66373,4.558,na,0.0942,,,,,
JVASP-16033,BaP2Pd2,-0.80841,0.0,na,0.0,,,,,
JVASP-104861,NaHg3,-0.0484,0.0,0.0,0.0404,,,,,
JVASP-28456,MoW2Se6,-0.56018,1.14,1.34,0.0433,,,,,
JVASP-3999,Na4HgP2,-0.37662,0.942,1.868,0.0038,,,,,
JVASP-107187,LiPrO3,-2.18096,0.0,na,0.2401,,,,,
JVASP-15724,SrNbO3,-3.01111,0.0,na,0.011,,,,,
JVASP-15522,DyCo2B2,-0.59803,0.0,na,0.0,,,,,
JVASP-102788,Ce3SiS2,-1.69149,0.0,na,0.0,,,,,
JVASP-107240,Yb3Mg,-0.02833,0.0,na,0.0206,,,,,
JVASP-106922,Rb2ScAuCl6,-1.73141,1.947,na,0.0447,,,,,
JVASP-44061,Li2FeBPO7,-2.10571,0.0,na,0.1425,,,,,
JVASP-104924,SrCa,-0.0088,0.0,na,0.0086,,,,,
JVASP-19082,BaTi2O5,-3.32517,1.881,na,0.0052,,,,,
JVASP-102531,MgNb3,0.22899,0.0,na,0.229,,,,,
JVASP-14909,TlCdS2,-0.36892,0.0,na,0.122,,,,,
JVASP-15771,TiAlNi2,-0.63998,0.0,0.0,0.0,,,,,
JVASP-1169,ThO2,-4.1762,4.823,5.013,0.0,,,,,
JVASP-104161,H3C3S2N,0.13551,0.58,1.627,0.2695,,,,,
JVASP-104646,ZnSiNi2,-0.31002,0.0,0.0,0.0673,,,,,
JVASP-16915,FeS2,-0.27792,0.0,na,0.3574,,,,,
JVASP-1663,TbRbS2,-2.03627,2.309,3.534,0.0,,,,,
JVASP-15375,SrAs2Ru2,-0.65373,0.0,0.0,0.0,,,,,
JVASP-52907,MgH6N2Cl2,-0.84572,4.997,na,0.0,,,,,
JVASP-101962,CdH14C9O4,-0.3404,2.315,na,0.1441,,,,,
JVASP-107512,TmUTe4,-0.96762,0.0,na,0.0,,,,,
JVASP-107688,Pm3Ti,0.22037,0.0,na,0.2204,,,,,
JVASP-104971,BeZn3O4,-1.93387,1.665,3.223,0.0179,,,,,
JVASP-103702,LiSi,0.05009,0.0,0.0,0.2457,,,,,
JVASP-15055,Ga2Au,-0.21871,0.0,0.0,0.0,,,,,
JVASP-105295,Rb3NdF6,-3.32057,4.508,8.712,0.1673,,,,,
JVASP-107141,K2RbMoBr6,-1.25512,1.377,na,0.1135,,,,,
JVASP-106798,InSnTe2,-0.30686,0.0,0.0,0.0126,,,,,
JVASP-44474,Li2Ni2BiO6,-1.2706,0.0,na,0.1767,,,,,
JVASP-105232,Pm2CdPb,-0.47236,0.0,0.0,0.0,,,,,
JVASP-13340,Li2TiO3,-2.85572,2.497,na,0.0128,,,,,
JVASP-105448,Mn2CuSb2Pd,0.00018,0.0,na,0.1563,,,,,
JVASP-105094,CoGeAs2,0.02316,0.0,na,0.2508,,,,,
JVASP-106412,K2NaBiBr6,-1.34716,3.076,na,0.0412,,,,,
JVASP-106565,Na3Mg,0.0324,0.0,na,0.0415,,,,,
JVASP-15629,ZrAlNi,-0.67729,0.0,na,0.0,,,,,
JVASP-14094,OsN2,0.3972,0.0,0.0,0.4075,,,,,
JVASP-58188,BaTi4O8,-2.98188,0.0,na,0.2724,,,,,
JVASP-15807,SrZn2Sb2,-0.52103,0.0,na,0.0,,,,,
JVASP-2592,TaTl3S4,-0.7643,2.654,3.203,0.0,,,,,
JVASP-50970,BaSr2I6,-1.75622,3.748,na,0.0693,,,,,
JVASP-107402,K2BiAuBr6,-0.98635,0.229,na,0.0964,,,,,
JVASP-16218,Ti2GeC,-0.84773,0.0,na,0.0,,,,,
JVASP-101886,SnH20C11O6,-0.42432,3.892,na,0.1159,,,,,
JVASP-102731,LaCeF6,-4.30185,0.0,na,0.0,,,,,
JVASP-101998,H2C4O3,-0.50324,2.552,na,0.269,,,,,
JVASP-107018,ZnCu2SnSe2S2,-0.45794,0.081,0.173,0.0212,,,,,
JVASP-104697,Sm2CdSb4,-0.70339,0.0,0.0,0.0064,,,,,
JVASP-12941,ZrTe2Br5,-0.95344,0.98,1.17,0.0,,,,,
JVASP-51203,ReRuBr,1.29881,0.0,na,1.4845,,,,,
JVASP-106923,Rb2AlAuBr6,-1.18931,0.0,na,0.1211,,,,,
JVASP-19898,HoIr2,-0.88265,0.0,0.0,0.0,,,,,
JVASP-5683,GaTeI7,-0.25238,1.556,2.297,0.0,,,,,
JVASP-14174,Cr2GaN,-0.36032,0.0,na,0.0504,,,,,
JVASP-102630,BaGa2H2,-0.5138,0.0,na,0.0,,,,,
JVASP-42211,Ni3OF5,-1.57186,0.016,na,0.0465,,,,,
JVASP-103820,H6C12S2O,0.05498,1.101,na,0.2508,,,,,
JVASP-102843,Li3FeO4,-1.81221,0.0,na,0.0614,,,,,
JVASP-16166,Ba3Al2Si2,-0.4564,0.0,0.0,0.0,,,,,
JVASP-107073,CeGa3Cu,-0.47633,0.0,na,0.0,,,,,
JVASP-105365,Tm2Ga3Ni,-0.66504,0.0,0.0,0.0209,,,,,
JVASP-107638,MgV2O6,-2.63326,2.45,2.833,0.0,,,,,
JVASP-102789,Ce2Ge3Rh,-0.80502,0.0,na,0.0,,,,,
JVASP-15332,Dy6FeSb2,-0.57377,0.0,na,0.0002,,,,,
JVASP-52999,Sr3FeN3,-0.85945,0.0,na,0.0,,,,,
JVASP-106858,NaO2,-0.86933,0.0,na,0.051,,,,,
JVASP-102583,YCdRh2,-0.60142,0.0,0.0,0.0,,,,,
JVASP-107349,Cu2S,-0.15022,0.132,0.502,0.0252,,,,,
JVASP-107462,LiThPt2,-1.02787,0.0,0.0,0.0,,,,,
JVASP-105301,Tl2F3,-1.81374,0.0,na,0.0398,,,,,
JVASP-103753,LiCo2CuO6,-1.12401,0.0,na,0.0682,,,,,
JVASP-1171,Na2S,-1.21153,2.59,4.971,0.0111,,,,,
JVASP-106971,PaBiAu2,-0.36427,0.0,na,0.0,,,,,
JVASP-107142,Rb2LiBiI6,-1.06471,1.912,2.48,0.0282,,,,,
JVASP-16010,Ba2Cd,-0.28169,0.0,0.0,0.0061,,,,,
JVASP-58227,BaMgCo4O8,-1.52629,0.0,na,0.2131,,,,,
JVASP-106696,YTmTe2,-1.29757,0.0,0.0,0.0084,,,,,
JVASP-107242,HoSiOs2C,-0.52154,0.0,0.0,0.0,,,,,
JVASP-28968,Te4MoW3Se2S2,-0.3111,0.221,na,0.2367,,,,,
JVASP-102476,CuSnPd2,-0.36432,0.0,0.0,0.0047,,,,,
JVASP-103886,TiH6C4O4,-0.67942,1.456,2.027,0.4074,,,,,
JVASP-15172,TmCo2Si2,-0.79235,0.0,0.0,0.0,,,,,
JVASP-1447,NaErS2,-2.01727,2.359,3.302,0.0,,,,,
JVASP-105233,Pm3Er,0.00212,0.0,na,0.0033,,,,,
JVASP-104819,Rb2AlAgF6,-3.00504,3.187,5.27,0.0,,,,,
JVASP-13341,Al2CdO4,-2.67653,2.978,4.436,0.0248,,,,,
JVASP-104647,Co4N,0.04007,0.0,na,0.0584,,,,,
JVASP-107299,NdCu4Pd,-0.30901,0.0,na,0.0,,,,,
JVASP-18759,ZrNi4Sn,-0.37499,0.0,na,0.0382,,,,,
JVASP-28895,TeWS,-0.36123,0.151,na,0.2299,,,,,
JVASP-57887,BaCo4O8,-1.2008,0.0,na,0.2756,,,,,
JVASP-27505,NdBO3,-3.25646,4.771,na,0.0,,,,,
JVASP-104593,LiSn3,-0.15766,0.0,0.0,0.0391,,,,,
JVASP-107403,K2AgAsBr6,-0.99162,0.672,na,0.0018,,,,,
JVASP-107574,Be4CoGe,-0.11226,0.0,na,0.0714,,,,,
JVASP-104162,H2C3S2O,0.00688,1.696,na,0.3858,,,,,
JVASP-106413,K3GaI6,-0.98886,0.729,1.744,0.1466,,,,,
JVASP-104972,BaVSe2S,-1.37294,0.0,na,0.0172,,,,,
JVASP-18910,MnAs,-0.17231,0.0,na,0.0333,,,,,
JVASP-2376,ZnSiP2,-0.33862,1.428,2.027,0.0,,,,,
JVASP-2820,KLiS,-1.40079,3.347,4.889,0.0,,,,,
JVASP-104122,H8C13SO,0.01758,1.09,na,0.2186,,,,,
JVASP-105095,Sr4N3,-0.64337,0.0,na,0.0654,,,,,
JVASP-42488,LiFeF3,-2.43066,0.0,na,0.0548,,,,,
JVASP-104699,Sc2Te3,-1.25826,0.041,0.283,0.0329,,,,,
JVASP-106625,Yb3P,-0.55756,0.0,0.0,0.0006,,,,,
JVASP-106519,ErCdPt2,-0.9193,0.0,0.0,0.0,,,,,
JVASP-107189,LiThRh2,-0.69511,0.0,0.0,0.0,,,,,
JVASP-101888,TiH10C6O4,-0.55035,1.478,na,0.2764,,,,,
JVASP-51164,ZnCuMo,0.91569,0.0,na,0.9673,,,,,
JVASP-106748,Sm2Ga3Ni,-0.65046,0.0,0.0,0.0139,,,,,
JVASP-106567,NaGeO3,-1.46384,0.0,na,0.2265,,,,,
JVASP-104756,Be2Co,-0.32961,0.0,na,0.0,,,,,
JVASP-104925,SrAg3Pd2,-0.3676,0.0,0.0,0.0,,,,,
JVASP-104555,AcTh3,0.04676,0.0,na,0.0496,,,,,
JVASP-107463,LuScCo2,-0.38872,0.0,na,0.0,,,,,
JVASP-107143,Rb2NaNdCl6,-2.19141,4.902,na,0.005,,,,,
JVASP-104862,NaTlHg2,-0.08802,0.0,0.0,0.0057,,,,,
JVASP-15219,HfGaNi2,-0.56133,0.0,0.0,0.0188,,,,,
JVASP-52375,HfMn6Sn6,0.00923,0.0,na,0.0737,,,,,
JVASP-106697,YScN2,-2.01655,0.091,na,0.0456,,,,,
JVASP-14281,TbYb2PrS6,-1.95633,1.111,1.987,0.1771,,,,,
JVASP-107689,PmPrZn2,-0.37051,0.0,na,0.0,,,,,
JVASP-18934,HoNi2,-0.5214,0.0,0.0,0.0,,,,,
JVASP-1666,RbHoS2,-2.0395,2.336,3.544,0.0,,,,,
JVASP-102631,RhI3,-0.28998,0.911,1.143,0.0,,,,,
JVASP-105533,CePt4Rh,-0.68883,0.0,na,0.0291,,,,,
JVASP-107019,YbY2Se4,-2.05448,1.07,1.67,0.0,,,,,
JVASP-4513,GaAgP2Se6,-0.18368,0.362,1.269,0.0034,,,,,
JVASP-105235,Pm3Mg,-0.018,0.0,na,0.0364,,,,,
JVASP-102790,Cd2TeSe,-0.49745,0.279,1.362,0.0065,,,,,
JVASP-16110,NdAsPd,-1.18314,0.0,0.0,0.0,,,,,
JVASP-107576,BiPbBrO2,-1.3426,1.767,na,0.0,,,,,
JVASP-103703,Li2MgTl,-0.27026,0.0,0.0,0.0,,,,,
JVASP-105449,Mn2CdTe3,-0.08179,0.0,0.0,0.1485,,,,,
JVASP-104820,TbRb2NaCl6,-2.22414,5.033,na,0.0,,,,,
JVASP-28392,SiO2,-2.59855,5.116,6.243,0.3027,,,,,
JVASP-1555,LiZnN,-0.40311,0.826,na,0.0,,,,,
JVASP-106924,Rb2NaAuF6,-2.26216,0.572,1.807,0.0219,,,,,
JVASP-14910,Ag2O,-0.08248,0.0,na,0.0854,,,,,
JVASP-4002,Na4Br2O,-1.57861,2.19,3.75,0.0259,,,,,
JVASP-19065,Er2Sn2O7,-2.79186,2.879,4.38,0.0,,,,,
JVASP-107640,Ho2TeO2,-3.09586,0.61,na,0.0,,,,,
JVASP-107408,Rb2ErCuCl6,-1.90783,2.525,na,0.0,,,,,
JVASP-107513,TiAl,-0.25334,0.0,0.0,0.1565,,,,,
JVASP-106972,Pm2PdAu,-0.83568,0.0,na,0.0,,,,,
JVASP-2823,K2CuP,-0.44742,1.248,1.777,0.0,,,,,
JVASP-15976,BaMg2Ge2,-0.54482,0.0,na,0.0,,,,,
JVASP-14690,HoAl2,-0.53251,0.0,0.0,0.0,,,,,
JVASP-19118,SeO2,-0.73201,3.415,na,0.0,,,,,
JVASP-105304,DyCr2Si2C,-0.44933,0.0,na,0.0,,,,,
JVASP-102844,ZrMnO3,-2.7259,1.521,na,0.0855,,,,,
JVASP-22607,MoF6,-2.54644,4.151,4.697,0.0,,,,,
JVASP-47525,CoAgO3,-0.59076,0.0,na,0.1481,,,,,
JVASP-44062,Li2Co3NiO8,-1.38493,0.0,na,0.0883,,,,,
JVASP-107350,CoNiP2S6,-0.27242,0.0,na,0.0793,,,,,
JVASP-102675,TaTiCN,-1.2024,0.0,na,0.0702,,,,,
JVASP-104973,Ba2CoNiS4,-1.3241,0.0,na,0.0681,,,,,
JVASP-107244,AlFe3H,-0.15459,0.0,na,0.0,,,,,
JVASP-16077,Te4Pt3,-0.35471,0.0,na,0.0126,,,,,
JVASP-22734,KNbO3,-2.67349,1.526,2.054,0.0059,,,,,
JVASP-101889,TiH8C5O4,-0.6096,2.025,na,0.3255,,,,,
JVASP-2598,Mg3NF3,-2.79107,3.927,6.338,0.0,,,,,
JVASP-106626,Yb3Ag,-0.15708,0.0,na,0.1224,,,,,
JVASP-102477,DyTlRh2,-0.56659,0.0,0.0,0.0233,,,,,
JVASP-104649,Pr2CdAu2,-0.77664,0.0,na,0.0,,,,,
JVASP-1216,Cu2O,-0.52398,0.644,na,0.0,,,,,
JVASP-104597,MgBi5,0.07273,0.0,0.0,0.1469,,,,,
JVASP-102584,YEr3,-0.00288,0.0,na,0.0,,,,,
JVASP-105368,VCr2S4,-0.88328,0.0,na,0.0,,,,,
JVASP-106414,Li3TlF6,-2.34517,3.39,5.602,0.3154,,,,,
JVASP-104821,Rb2NaPrBr6,-1.8784,3.984,na,0.0076,,,,,
JVASP-104123,H4C8S2O,0.06136,1.473,na,0.2996,,,,,
JVASP-107144,Rb2TlAsI6,-0.8149,0.762,0.836,0.0348,,,,,
JVASP-104863,PPb3,0.21379,0.0,na,0.2138,,,,,
JVASP-107690,Pr3Sm,-0.00796,0.0,na,0.0049,,,,,
JVASP-106799,IrW,-0.19903,0.0,na,0.2218,,,,,
JVASP-105136,CdAu3,-0.14224,0.0,na,0.0,,,,,
JVASP-18604,ErPbAu,-0.67853,0.0,0.0,0.0,,,,,
JVASP-14282,Sn3F8,-2.49727,3.306,4.913,0.0,,,,,
JVASP-107074,CdNiO2,-0.72236,0.0,0.0,0.2453,,,,,
JVASP-105238,PmHo3,0.01177,0.0,na,0.0118,,,,,
JVASP-18570,ThAl3Ni2,-0.67075,0.0,na,0.0,,,,,
JVASP-102532,MgOs,0.18643,0.0,na,0.1864,,,,,
JVASP-50060,DyTlO2,-2.57313,1.633,na,0.064,,,,,
JVASP-15095,PrGe2Rh2,-0.86507,0.0,0.0,0.0,,,,,
JVASP-103821,H10C17SO,0.00944,1.225,na,0.1874,,,,,
JVASP-13345,Pr2CdS4,-1.71509,1.652,2.709,0.0762,,,,,
JVASP-19916,HgSe,0.07304,0.0,0.0,0.0864,,,,,
JVASP-106520,Fe3W,-0.00387,0.0,na,0.1381,,,,,
JVASP-14158,BNF8,-1.41776,3.418,na,0.0,,,,,
JVASP-107020,YCoC,-0.37709,0.0,na,0.0434,,,,,
JVASP-104926,SrCO3,-2.37879,4.598,7.248,0.0,,,,,
JVASP-101924,ZnH16C10O4,-0.38582,4.635,na,0.0918,,,,,
JVASP-18463,TiBr2,-1.11189,0.0,0.0,0.0345,,,,,
JVASP-107301,NbInPb2O6,-1.88781,2.673,3.748,0.03,,,,,
JVASP-104757,CaTm2Te4,-1.51176,0.615,1.086,0.013,,,,,
JVASP-104556,AcCe3,0.07311,0.0,na,0.0759,,,,,
JVASP-106925,Rb2LiNdF6,-3.48673,6.832,9.031,0.0654,,,,,
JVASP-105451,Mn2AsP,-0.3618,0.0,na,0.0232,,,,,
JVASP-2379,Pr2SeO2,-3.16622,2.323,3.618,0.0,,,,,
JVASP-18760,TbNi5,-0.36581,0.0,na,0.0,,,,,
JVASP-102791,Ce2Ga7Pd,-0.57287,0.0,na,0.0,,,,,
JVASP-14762,SmMg2,-0.08251,0.0,0.0,0.017,,,,,
JVASP-103887,TiH8C5O4,-0.60252,2.819,na,0.3326,,,,,
JVASP-106698,YFeNi,-0.24694,0.0,na,0.1066,,,,,
JVASP-104702,PrNdAl4,-0.53113,0.0,0.0,0.0,,,,,
JVASP-27509,Er3GaS6,-1.86752,2.066,2.995,0.0,,,,,
JVASP-102001,H6C11O4,-0.28477,2.882,na,0.2377,,,,,
JVASP-15173,USO,-2.62772,0.0,na,0.0,,,,,
JVASP-107515,Ti4Pd,-0.24178,0.0,na,0.0395,,,,,
JVASP-2259,YOF,-4.14793,5.232,6.508,0.0077,,,,,
JVASP-11984,CoRe3,-0.07452,0.0,na,0.0,,,,,
JVASP-107641,Ge2N2O,-0.56656,2.535,3.678,0.0299,,,,,
JVASP-103949,ZrH12C8O4,-0.5326,1.806,na,0.236,,,,,
JVASP-105096,LiCr2O4,-2.14508,0.0,na,0.0455,,,,,
JVASP-102732,La2CoNiO6,-2.46616,0.0,na,0.0023,,,,,
JVASP-18530,Pr3B2N4,-1.43592,0.0,na,0.0,,,,,
JVASP-104650,LiVSe2,-0.93505,0.0,na,0.0554,,,,,
JVASP-60,Te2Mo,-0.24068,0.765,1.001,0.0,,,,,
JVASP-106859,Cr2HgS4,-0.52453,0.0,na,0.0511,,,,,
JVASP-104011,SnH12C6F2,-0.35503,2.406,na,0.1392,,,,,
JVASP-4005,Na3ClO,-1.61423,2.261,4.704,0.0194,,,,,
JVASP-58134,ZnCu2O4,-0.82303,0.0,na,0.0518,,,,,
JVASP-106415,K3NdCl6,-2.11666,4.437,na,0.109,,,,,
JVASP-106483,Al3Cu,-0.04534,0.0,0.0,0.1304,,,,,
JVASP-102676,SrSmAlO4,-3.44736,3.575,4.869,0.0,,,,,
JVASP-44480,RbFeO2,-1.42599,0.0,0.0,0.1504,,,,,
JVASP-51692,Y2V2O7,-3.18015,0.0,na,0.0384,,,,,
JVASP-105139,Ce2TlAg,-0.20096,0.0,na,0.0244,,,,,
JVASP-102478,Dy,-0.00492,0.0,na,0.0,,,,,
JVASP-16034,BaAs2Pd2,-0.75434,0.0,na,0.0257,,,,,
JVASP-19868,CaSi2,-0.38442,0.0,na,0.0426,,,,,
JVASP-15977,SrSi2Cu2,-0.36866,0.0,na,0.0,,,,,
JVASP-2100,BaS2,-1.57516,1.625,2.593,0.0027,,,,,
JVASP-15292,ErInCu,-0.43522,0.0,na,0.0,,,,,
JVASP-107145,Rb3CeCl6,-2.11779,0.0,na,0.0782,,,,,
JVASP-18487,Bi4Te3,-0.17332,0.034,na,0.0,,,,,
JVASP-107410,Rb2GaHgCl6,-1.33933,0.0,na,0.0803,,,,,
JVASP-1669,RbErS2,-2.0402,2.358,3.469,0.0,,,,,
JVASP-107246,SrCuSi,-0.41929,0.0,na,0.0,,,,,
JVASP-102632,Lu3GaC,-0.59766,0.0,0.0,0.0,,,,,
JVASP-13346,K6Fe2O5,-1.42416,0.872,na,0.0,,,,,
JVASP-2382,Ga2HgS4,-0.55124,1.533,2.831,0.0,,,,,
JVASP-104758,CCl3,0.03559,1.817,na,0.0364,,,,,
JVASP-15772,AlPd,-0.8976,0.0,na,0.0,,,,,
