formula,Tc,tc_source,dataset,pressure_gpa,lambda,wlog,debye_temp,dos_ef
VW3,0.0,dft,jarvis_alex,,0.2095702755311442,247.76438314700653,372.8300476074219,1.3719114
Nb2TaTc,0.191,dft,jarvis_alex,,0.3182762204642443,226.24559213090973,338.9709167480469,1.9331156
CNi3Zn,16.333,dft,jarvis_alex,,3.273331479608267,56.52732171191832,418.1632385253906,4.439979
OsV2W,0.673,dft,jarvis_alex,,0.3642530892532858,282.75572289742985,429.0677490234375,2.920455
CdOTiZr2,3.597,dft,jarvis_alex,,0.5663034082989531,183.1976617199006,388.2061462402344,3.944944
AlCoRuSi,0.0,dft,jarvis_alex,,0.1646931559301779,261.4394124167348,571.6993408203125,1.6538019
MgNiZnZr,0.062,dft,jarvis_alex,,0.2941479485924243,154.4912261712353,339.8931884765625,3.2313247
CrMoW2,0.382,dft,jarvis_alex,,0.3407665399768634,259.32775982597315,383.2468872070313,2.2802966
CCdNi3,9.496,dft,jarvis_alex,,1.0518586841232636,116.48778932809236,398.9401550292969,7.9553804
ReRuTi2,0.133,dft,jarvis_alex,,0.3012254765505441,261.65986826961506,404.0001831054688,2.7219527
Hf2Nb2,13.223,dft,jarvis_alex,,1.3601474861314793,114.96014998794703,250.3223419189453,5.2795315
GaMo2V3,0.782,dft,jarvis_alex,,0.3776895803116214,259.2177464669399,458.1606140136719,4.1961904
H3Ti4,4.984,dft,jarvis_alex,,0.5941527909828309,217.1099564701312,520.5104370117188,5.9647975
PdTi,2.817,dft,jarvis_alex,,0.5161447024131924,200.31524665336732,346.1650390625,2.377622
Al5NiZr,0.553,dft,jarvis_alex,,0.3585247677342986,259.0569960815262,486.4342651367188,2.1763277
Al2VZn,0.0,dft,jarvis_alex,,0.1703391874301001,296.23947379612565,541.11083984375,2.2080688
Rh2TiZn,0.0,dft,jarvis_alex,,0.1716554992401263,222.5340832534433,363.6274719238281,1.6426648
LiMg3,0.004,dft,jarvis_alex,,0.2346639526982067,235.103915850975,420.3340148925781,1.1801108
FeSc3Zn2,0.638,dft,jarvis_alex,,0.3889597801270796,176.24929293790214,364.3116149902344,5.0290046
PtRh2Ru,1.936,dft,jarvis_alex,,0.4643809104710942,213.32098364878425,395.3824768066406,3.2507699
Rh7Sb,0.436,dft,jarvis_alex,,0.3511591735316626,236.6037236776483,379.35150146484375,8.369463
Al2Ni3Ta,0.782,dft,jarvis_alex,,0.3980597850651083,188.5334148694213,447.3040161132813,5.199481
AlNbNi2,0.41,dft,jarvis_alex,,0.350408117096482,225.78659240444944,473.5041809082031,1.6993903
AgAl2Ti,0.0,dft,jarvis_alex,,0.196160144634878,254.2468658186319,381.7059020996094,2.0646086
CdHfRh2,0.0,dft,jarvis_alex,,0.1294354682963296,168.93774225943687,283.06640625,0.9243709
C2Cr2La,12.092,dft,jarvis_alex,,0.9000941148006776,193.4504567169472,497.3238525390625,4.182798
AlMgPd2,0.063,dft,jarvis_alex,,0.293551695209978,161.13259064925623,320.4426574707031,0.6539058
AgSc2Tl,0.159,dft,jarvis_alex,,0.3431458976275806,101.971706036183,236.0159454345703,3.992302
CuRh2Sc,0.962,dft,jarvis_alex,,0.4171617275207323,178.93441363713802,372.5725402832031,5.2768736
MgRh2Tl,0.0,dft,jarvis_alex,,0.1027098343267346,161.58832961279188,294.5674133300781,1.8165604
AuBe4Pd,0.997,dft,jarvis_alex,,0.4022146031385947,226.09691237658467,536.1316528320312,2.4272845
OsTa2V,0.004,dft,jarvis_alex,,0.2316248676461393,254.5872898337844,323.3487243652344,1.9899322
CISc2,0.024,dft,jarvis_alex,,0.2566848130747308,309.4498193060719,377.0966491699219,3.133507
Co2GaMo,0.059,dft,jarvis_alex,,0.2795895273485582,257.3516435081307,464.9313049316406,3.021033
Cu2Ga,0.0,dft,jarvis_alex,,0.2125351341989453,183.82329698549768,301.518310546875,0.83857393
Ca2H5Ni,1.04,dft,jarvis_alex,,0.3435708096309317,661.4468893217174,484.7220764160156,2.423125
MoTaVW,0.273,dft,jarvis_alex,,0.3315207342734732,229.39625195587456,320.3672180175781,2.3092327
RhRuScZr,0.0,dft,jarvis_alex,,0.1691063701103457,222.24742539515665,346.2503967285156,1.1157643
HNZr6,3.165,dft,jarvis_alex,,0.5486222846644079,179.45006238759345,375.5241088867188,4.6993012
HNiRh2Sc,0.363,dft,jarvis_alex,,0.3382884479334142,259.6961768256012,421.0842590332031,5.720974
Nb4Si2,2.359,dft,jarvis_alex,,0.476946161287956,230.97905257522973,483.7698059082031,2.5211449
CCr2Rh2,3.008,dft,jarvis_alex,,0.4867372190740163,269.7884679341216,607.61572265625,6.7872596
ScYZn2,0.533,dft,jarvis_alex,,0.3836570312103278,160.06641425508286,306.139404296875,4.9143133
BeHf3Tc2,2.172,dft,jarvis_alex,,0.4830718289155727,201.0773949314173,303.6224670410156,6.7807803
Co2Sc2Si2,0.143,dft,jarvis_alex,,0.3011938816878693,282.50120804895795,528.1580810546875,3.6990917
O4Rh2,0.0,dft,jarvis_alex,,0.1782932968770853,498.7124698749619,554.3399658203125,5.047313
Mn4NbTc,12.919,dft,jarvis_alex,,0.8123389463350088,256.0028372555868,454.4996032714844,7.309967
Mo3Nb4,1.352,dft,jarvis_alex,,0.4305444679929339,213.3465638529094,295.0171813964844,4.9822288
NiRu2Ta,0.93,dft,jarvis_alex,,0.396101448227647,230.9674810502271,395.9330749511719,3.4688234
Al2CuTi,0.0,dft,jarvis_alex,,0.1982905935376838,268.2002916211685,490.1022033691406,2.3273082
Cr2VW,0.007,dft,jarvis_alex,,0.2358982624618838,317.68951401477045,419.7909240722656,3.0753536
BeMoRu2,0.035,dft,jarvis_alex,,0.2676420494633774,253.59830191399607,445.1294860839844,0.8369443
Cs2IrO6Sr,0.0,dft,jarvis_alex,,0.069426603843735,304.0469925812332,254.42770385742188,5.227987
V4W2,1.117,dft,jarvis_alex,,0.3993608200156672,264.27703126338554,324.5816345214844,2.939134
Ca2Ni2P2,0.065,dft,jarvis_alex,,0.2815982584192687,259.3807890660753,452.6750183105469,4.7331104
CCdHfTi2,0.052,dft,jarvis_alex,,0.2789431846114493,232.70304231450427,410.8412170410156,3.1975193
Li2Mg2,0.159,dft,jarvis_alex,,0.312939249867274,219.1371895627229,381.8331604003906,1.7358974
As2Co2Pd2,0.0,dft,jarvis_alex,,0.1467902111709894,169.91826529669595,322.9585876464844,0.8250745
Rh3V,0.471,dft,jarvis_alex,,0.35178954373661,252.5191297424496,512.1214599609375,3.0697653
ReTa2V,0.192,dft,jarvis_alex,,0.320220331091488,216.08742229434984,324.24755859375,2.7429523
CInTi2,0.0,dft,jarvis_alex,,0.1866063121362663,345.1765525997583,529.9441528320312,1.1886777
AlCuPdPt,0.155,dft,jarvis_alex,,0.3402940061435441,105.86605357944416,311.3933410644531,2.3094285
Al2PtTi,0.085,dft,jarvis_alex,,0.2975656406456948,189.73127104042868,397.6120300292969,2.0513935
InScZr2,1.646,dft,jarvis_alex,,0.4632488427476893,183.2996096620375,320.8239440917969,3.0096905
Ni5PZn,0.0,dft,jarvis_alex,,0.1623190564328926,239.86449576146083,416.1038818359375,5.829893
OsZnZr2,0.051,dft,jarvis_alex,,0.2843900894491276,184.2438635334817,326.0113830566406,1.2426953
Al5HfRu,0.13,dft,jarvis_alex,,0.3035577982716778,237.5101654713579,398.22259521484375,2.7816043
Nb3O3,3.601,dft,jarvis_alex,,0.4894043600827648,315.85137135269025,621.9234008789062,2.9128911
CLiRu2Sc,0.055,dft,jarvis_alex,,0.2778160154025416,254.5181896518017,514.845947265625,3.2870145
Al2MgSc,0.0,dft,jarvis_alex,,0.1858650777991552,297.9550469666303,505.671142578125,2.152876
AlRuTcW,0.0,dft,jarvis_alex,,0.2099033692882375,251.8326767556704,422.97467041015625,1.6202089
NiPZr,3.484,dft,jarvis_alex,,0.5448165051818057,203.1272552720621,465.9438171386719,2.061092
GeHV,0.01,dft,jarvis_alex,,0.2408600161205211,352.1502205914296,464.6518859863281,1.0695369
In2MoTi5,9.076,dft,jarvis_alex,,0.9065419457600662,144.0060835630515,356.4098815917969,10.471496
MoRh5,1.255,dft,jarvis_alex,,0.4128289503220924,247.15536135552563,460.8068542480469,7.62022
NbRe2W,5.174,dft,jarvis_alex,,0.6221857891624449,197.56853992664125,363.5328979492188,2.3520665
Rh2,2.177,dft,jarvis_alex,,0.4677869891659316,232.2300441915436,475.9832458496094,4.0336757
Nb2TaW3,0.204,dft,jarvis_alex,,0.3247276850427231,203.2396193614829,340.4372253417969,5.2064767
Hf2OsTc,0.016,dft,jarvis_alex,,0.2558822962548484,208.3725499820121,315.2780456542969,4.3453217
OsTa2Tc,4.831,dft,jarvis_alex,,0.6087338851920697,196.8061640883389,357.7182312011719,3.2151158
AlNi2Ti,1.882,dft,jarvis_alex,,0.4891561693726785,165.49742707568998,433.6486511230469,3.9020998
Be2PdRh,0.0,dft,jarvis_alex,,0.1957911021216936,307.74583519579187,472.6544799804688,0.5493243
Au2CdHg,0.13,dft,jarvis_alex,,0.3447943536313359,80.68498706534545,126.07137298583984,0.65290505
Pt6V2,1.53,dft,jarvis_alex,,0.4702440189585102,159.17902577979493,328.0022888183594,8.498463
Ni4Zn2,0.0,dft,jarvis_alex,,0.1630803061250789,175.45982785483082,355.42681884765625,5.1720724
AlCr2,1.2,dft,jarvis_alex,,0.3901508265069984,325.7339552211095,597.7982177734375,2.899983
H2Ni2Zn,0.006,dft,jarvis_alex,,0.2378026490626978,244.33189274946807,435.62701416015625,1.630675
CoHRu2V,1.951,dft,jarvis_alex,,0.4467943594506242,256.1700660509961,505.4944763183594,3.5446784
NbOsTaV,0.002,dft,jarvis_alex,,0.2252707796570026,244.9928887667101,337.6530456542969,3.600812
Rh2ZnZr,0.0,dft,jarvis_alex,,0.1205796582183025,190.3524568438926,336.9356689453125,0.5221405
Ru6Tc2,3.375,dft,jarvis_alex,,0.5007225579971508,270.7464176231415,542.9945068359375,4.179418
CTi2Zn,0.092,dft,jarvis_alex,,0.2905210064961165,260.3552481780218,580.8963012695312,2.330599
AuCMnSc2,0.702,dft,jarvis_alex,,0.3933150920270188,181.1514660169213,392.0045471191406,3.3240323
AsNiZn,0.596,dft,jarvis_alex,,0.388296051483437,166.41546650983702,312.3013610839844,1.4165987
Ag2GaLi,0.156,dft,jarvis_alex,,0.3268491698477682,147.28931894735211,243.8329620361328,1.173144
MnReTa2,0.0,dft,jarvis_alex,,0.185558241812461,254.45159491672192,320.8820495605469,1.1662431
Ga2Tc2,0.022,dft,jarvis_alex,,0.2597175620667515,239.3382593809704,395.032470703125,1.334055
ScSe,7.462,dft,jarvis_alex,,0.8149308356161249,146.16789386123156,349.8125305175781,1.5602485
LiRhScSn,0.193,dft,jarvis_alex,,0.322564817121858,203.9452131945656,333.2266540527344,3.7739923
LiSr2Tl,0.63,dft,jarvis_alex,,0.4431846885302135,85.90216921797666,212.46658325195312,2.7026322
MgPt2Ta,0.019,dft,jarvis_alex,,0.2628170067050975,172.75466049169654,294.8811950683594,0.9427825
BeFeTi2,0.011,dft,jarvis_alex,,0.2434126292711004,307.23002659401646,552.2091064453125,1.0967174
Cr4HfMo,8.098,dft,jarvis_alex,,0.6784517813216612,243.20345196509223,386.4154357910156,4.5090184
RhRu3,2.588,dft,jarvis_alex,,0.4783994121144341,250.52062301219075,504.5732421875,5.0687513
CuRuY2,0.008,dft,jarvis_alex,,0.2496020672940408,162.14083147831013,275.6277770996094,3.595596
LiMg2Ni,0.0,dft,jarvis_alex,,0.2040027996688591,217.0501974935985,407.7605285644531,2.0857873
Co2Ti3W,2.538,dft,jarvis_alex,,0.4951318702139298,212.53320963402004,423.5895385742188,4.5042315
Mo2NbW,0.016,dft,jarvis_alex,,0.2527848209465682,258.4652719705963,387.2780456542969,2.1372356
NiSc2Zn,1.424,dft,jarvis_alex,,0.4782382132049725,137.58361374454628,340.3970031738281,2.3804433
MoNbZn4,0.138,dft,jarvis_alex,,0.307775111866603,221.30310792912732,416.9994812011719,1.8390552
BCdRh2,0.587,dft,jarvis_alex,,0.3880287217725098,164.33246345092493,417.79388427734375,2.525603
HfN2Sc2,0.016,dft,jarvis_alex,,0.2468769607543255,354.11706155355773,549.11767578125,2.2693741
BeNi2V,0.048,dft,jarvis_alex,,0.2712580480333411,300.3965551949447,506.2463684082031,1.7045485
CoH6Mg2Ni,0.102,dft,jarvis_alex,,0.2684792741834034,722.6246284287334,575.1517333984375,0.71270484
CaCo2LiP2,0.039,dft,jarvis_alex,,0.2666288583852492,302.50673229720246,511.0102844238281,2.9433262
AgAl2Sc,0.08,dft,jarvis_alex,,0.2905783864752255,227.6023445204752,386.3221740722656,1.0613108
PSc2Tl,0.201,dft,jarvis_alex,,0.3465277460600728,120.07787964211232,301.1237487792969,2.4120302
NSc3Sn,0.456,dft,jarvis_alex,,0.3434431193475791,290.996281243529,500.6232604980469,3.1778586
Be4SiTc,7.425,dft,jarvis_alex,,0.5590065911943114,395.5190156457214,897.781494140625,2.1992064
AlLiOsW,0.0,dft,jarvis_alex,,0.1026366415549517,243.28279104691143,335.4131164550781,0.5165749
Nb2PtRu,7.676,dft,jarvis_alex,,0.7991975918658696,156.63508022586797,373.1603088378906,3.423381
OsRh5,0.896,dft,jarvis_alex,,0.3893146222958419,246.4915979322416,459.4412536621094,5.958787
Co2HRuV,0.118,dft,jarvis_alex,,0.2940181733846931,295.4041320353973,514.2042236328125,2.754978
InPtRuSc,0.0,dft,jarvis_alex,,0.0984274080338765,195.7932599871005,293.708251953125,0.725217
GeNbTc2,3.673,dft,jarvis_alex,,0.5594368216322552,195.76614336473995,389.4903564453125,3.079827
MgRu2Sb,0.0,dft,jarvis_alex,,0.1734195946579922,215.63175356504652,371.1768798828125,1.9009262
Be2Ca2P2,0.356,dft,jarvis_alex,,0.3228395281632791,372.8367076329087,625.858642578125,3.3231478
Al2NiOs,0.0,dft,jarvis_alex,,0.1563492893428901,207.2068669919885,429.2261962890625,1.9328218
RhTcTi2,0.0,dft,jarvis_alex,,0.1633063707768553,290.14189943961065,462.3764343261719,0.7569712
BSc3Sn,0.0,dft,jarvis_alex,,0.1652036608464016,329.63449999869914,481.0231018066406,0.36707345
LiMg2Ni,0.001,dft,jarvis_alex,,0.219681805946649,205.3585445046243,390.86761474609375,2.0458534
Ga2Ti2Y2,3.997,dft,jarvis_alex,,0.5907578157265942,178.21713995820593,350.8693542480469,7.1565056
Al2Tc2,0.0,dft,jarvis_alex,,0.1982420132141542,284.56506920464045,567.699462890625,0.6691104
B2K2Pd6,0.0,dft,jarvis_alex,,0.1479314905675813,198.0515761037516,287.5085754394531,2.3936362
B4NbV,3.998,dft,jarvis_alex,,0.4656490863734857,434.1512481043719,923.7913208007812,2.8330889
Co2GaSi,0.002,dft,jarvis_alex,,0.2237382814043608,259.7269880135466,538.8544311523438,1.4606942
Nb4Os2,0.742,dft,jarvis_alex,,0.380454750408522,235.017583565444,364.3569946289063,2.8180745
CoH3Mg,0.0,dft,jarvis_alex,,0.1862460393202285,723.6000135238185,646.484130859375,0.90764993
InNY3,0.0,dft,jarvis_alex,,0.1933144909507888,242.5216410130063,377.3266296386719,2.4874122
AgCNiSc2,0.844,dft,jarvis_alex,,0.3969004672426431,206.6639613463264,415.2991333007813,3.8964818
AuCTi3,0.277,dft,jarvis_alex,,0.3456990429822285,168.28349477906707,384.10345458984375,2.0546288
GaLiPd2,0.002,dft,jarvis_alex,,0.2282573750419509,166.33097913132093,311.6249694824219,0.5751033
C4Lu2V2,0.662,dft,jarvis_alex,,0.336057882457536,499.5692493835272,569.4403076171875,2.5032742
MgTc2,0.0,dft,jarvis_alex,,0.1875358338227194,276.649813635637,444.840087890625,1.4174314
GaPdZr,6.508,dft,jarvis_alex,,0.7961670044441305,134.0765857980987,307.6011657714844,2.9513822
RuTc,4.177,dft,jarvis_alex,,0.5290501405295617,271.520332768147,522.1339111328125,2.4635541
BiCTi2,1.033,dft,jarvis_alex,,0.3987027764773536,246.25850654498987,384.0150451660156,2.354325
Al2GeSc,0.1,dft,jarvis_alex,,0.2964056228344799,230.8870050424194,530.8079833984375,1.8853024
NbTc2Zr,0.064,dft,jarvis_alex,,0.2821643332579296,249.90953746715408,394.591552734375,3.2272148
Hf2ReRu,0.046,dft,jarvis_alex,,0.2807283777371814,190.1154813247693,314.24041748046875,3.6544793
LiMg2Rh,0.0,dft,jarvis_alex,,0.2031218947779333,198.78315818569905,373.4528503417969,1.5592309
PtSnZr6,2.358,dft,jarvis_alex,,0.5180708115332066,165.39387726889356,274.6711120605469,9.5442295
H2RhV,9.08,dft,jarvis_alex,,0.6118669747321327,361.6339878497112,568.9950561523438,2.8821409
PtRh2Tc,2.58,dft,jarvis_alex,,0.4879428624387282,229.7848633242562,413.3214721679688,4.022528
Co2LaLiP2,0.053,dft,jarvis_alex,,0.2750900120949396,276.9586971347155,466.9125061035156,4.376831
HfMoRhTi,0.308,dft,jarvis_alex,,0.3365075909380671,230.04856459484267,368.91253662109375,3.4700096
CLiRuY2,0.011,dft,jarvis_alex,,0.2497525342004196,210.4764864075377,396.1846618652344,3.717079
Al2LiTc,0.894,dft,jarvis_alex,,0.4032302730420084,199.96254993740263,515.6376342773438,1.5876489
CuRh2Ta,0.0,dft,jarvis_alex,,0.123009697967634,208.11734304691785,340.7395324707031,0.7562618
Al5RhSc,0.008,dft,jarvis_alex,,0.2405788192480931,285.7097860427243,475.9148254394531,2.3123884
As2Be2K,1.798,dft,jarvis_alex,,0.4394433785812144,255.68523730843947,422.8415222167969,0.790915
Be4TiW,2.324,dft,jarvis_alex,,0.438461226339967,334.3168430071319,663.93896484375,5.649732
CCoPdY2,0.137,dft,jarvis_alex,,0.3215764969318992,147.65700467285478,344.0634460449219,2.190353
CrV3,11.481,dft,jarvis_alex,,0.7962925184850569,236.15926702774345,418.2071838378906,6.180875
AlCaOY2,0.002,dft,jarvis_alex,,0.2258711200318178,229.7439451283201,398.4612731933594,1.8171042
Pt2Ru2,2.435,dft,jarvis_alex,,0.5046940036866093,188.855087902993,371.8616943359375,5.4279475
CuMn2Ti3,5.616,dft,jarvis_alex,,0.6221952687151334,213.74135819201112,411.9733581542969,6.291236
RuZr2,1.29,dft,jarvis_alex,,0.4301796739865512,204.6166097446244,325.13055419921875,3.53401
SiSrZn,0.096,dft,jarvis_alex,,0.2991726448403726,202.57888219106653,344.40155029296875,1.5056918
BeRhRuV,0.0,dft,jarvis_alex,,0.1574930851096412,284.9495229251095,459.2362365722656,0.531439
AuCd2Li,0.12,dft,jarvis_alex,,0.3278642825218106,110.60674495536112,166.8580322265625,1.1728979
InRu2Ta,0.0,dft,jarvis_alex,,0.0609686985224149,234.70463459459324,368.0401916503906,0.080325074
HSbSc,4.738,dft,jarvis_alex,,0.7485450335096515,111.07671986587432,370.83099365234375,1.4872016
RuZr,0.0,dft,jarvis_alex,,0.1854972409363935,243.0769381618963,390.2713928222656,0.8170499
RhRuVZn,0.0,dft,jarvis_alex,,0.1862175818803321,246.5737974351588,383.3927917480469,0.84168476
MgNiSn,0.003,dft,jarvis_alex,,0.2312609705469548,197.950838484425,344.52685546875,1.6937567
Al2PdRu,0.0,dft,jarvis_alex,,0.1605979936341783,239.5531404347753,445.3933715820313,0.97771674
IrNV2,2.58,dft,jarvis_alex,,0.4569492797495775,304.97363094054487,585.3338623046875,3.2925987
OsTi2Zn,0.002,dft,jarvis_alex,,0.2225307132323669,247.97297543829976,405.4802551269531,1.2908237
AsCNb2,3.814,dft,jarvis_alex,,0.4990993604835805,308.63923570988914,509.5808410644531,1.6950799
MoTc2Zr,0.477,dft,jarvis_alex,,0.3539778941759667,244.2166197470385,389.5105285644531,1.589085
Ca2LiNPd,0.0,dft,jarvis_alex,,0.0711148228939888,271.27785085765424,379.9036560058594,-0.0117346
GaMgRh2,0.0,dft,jarvis_alex,,0.1118613459857045,206.5064332848386,417.7935791015625,1.5843557
Ni2Zn3,0.004,dft,jarvis_alex,,0.2415798425994613,122.50535596931296,362.6824340820313,1.6247532
CuOsRh2,2.172,dft,jarvis_alex,,0.5568796543830825,117.03236819765708,403.6765441894531,2.8858457
CTlY3,0.002,dft,jarvis_alex,,0.2279492578302719,169.04950549226422,349.79351806640625,0.26745418
Rh2ScZr,1.805,dft,jarvis_alex,,0.4865409076102305,162.4767082663905,332.9416809082031,2.7634807
MgNi2P2,0.25,dft,jarvis_alex,,0.3274921426977391,231.86628713063817,484.5162048339844,2.4700117
LiMg2Pd3,0.0,dft,jarvis_alex,,0.1296161968539647,191.171356856924,311.3577575683594,0.86256766
AlLi2Y,0.001,dft,jarvis_alex,,0.2199137496965495,195.09551443324165,423.8440246582031,0.8639429
Cu2GaNi,0.0,dft,jarvis_alex,,0.2071423618421339,187.4625794342048,313.6708374023437,2.1899953
ScTc4Y,14.466,dft,jarvis_alex,,2.182334408147774,74.44868827546291,340.57391357421875,7.029529
MoNbW,0.003,dft,jarvis_alex,,0.2293677819415226,252.9621722435165,372.7315368652344,1.0085164
Cu2PtSc,0.0,dft,jarvis_alex,,0.1865189813839101,170.84572821023986,296.4825134277344,1.5683393
B2V,0.345,dft,jarvis_alex,,0.3106462979247884,507.4190231507607,1137.6556396484375,1.3272108
B2Lu,0.457,dft,jarvis_alex,,0.3228902051323706,477.3660406915584,658.33935546875,0.9022369
Mo3Si4,0.001,dft,jarvis_alex,,0.2129481722158785,331.15605298687547,683.2544555664062,1.9942616
HfTc2W,0.005,dft,jarvis_alex,,0.2371699475968243,224.1990717707309,360.8075256347656,1.4068506
HfTiZn6,0.325,dft,jarvis_alex,,0.3579174318664331,153.7681890151404,269.1107788085937,3.3116531
H2Ti2,6.297,dft,jarvis_alex,,0.6155251174102576,246.35985680440209,528.0189208984375,3.198527
MgRh2Sn,0.001,dft,jarvis_alex,,0.2179191343411599,128.20824509446754,339.4107360839844,1.4257331
Al2Cu4Sc2,0.03,dft,jarvis_alex,,0.2670904784117788,227.0808573131592,410.0683898925781,4.432167
AlHf2Re,0.0,dft,jarvis_alex,,0.196890566316753,187.107799502732,292.3934936523437,0.87141746
AgCRuY2,0.196,dft,jarvis_alex,,0.3345894149947701,152.99875689130016,346.5990295410156,2.3364167
Be4RuV,0.034,dft,jarvis_alex,,0.2588159111676401,393.4466331659439,799.3919677734375,2.246149
Li4Si2,0.058,dft,jarvis_alex,,0.2773359907350761,274.77641305031943,552.699462890625,1.8242587
AlMnOsW,0.0,dft,jarvis_alex,,0.1925313392498788,252.47150653112143,405.0740661621094,1.7055773
CaCuZn,0.083,dft,jarvis_alex,,0.3062404003286501,139.20512931185803,298.00030517578125,2.1395612
HMn2,0.82,dft,jarvis_alex,,0.3592240610264233,378.4435368788388,619.249755859375,2.1525927
FeGe3La,0.017,dft,jarvis_alex,,0.2580840067670688,204.5902739742101,297.7540588378906,2.5919788
Nb3RuTc2,7.075,dft,jarvis_alex,,0.7044741587389008,193.3673247125533,406.4202575683594,3.5773747
CaNPbY2,0.025,dft,jarvis_alex,,0.2651400469618526,204.5629128472657,333.5798645019531,2.0153594
LiMg3Sc2,0.043,dft,jarvis_alex,,0.2798075406436683,184.0282804114088,400.1218872070313,5.680277
Ca2LiTl,0.224,dft,jarvis_alex,,0.36285238854593,96.15714149706304,228.119384765625,2.6053467
InMg2Rh,0.358,dft,jarvis_alex,,0.3713226436029608,132.36134503923853,331.8037414550781,1.3628302
ReTc,10.881,dft,jarvis_alex,,0.8507526792220373,196.57730302409905,444.7029724121094,1.2523361
InScZr2,1.031,dft,jarvis_alex,,0.4229291818014882,178.45537179113416,325.02685546875,4.5499363
Be4IrZn,0.8,dft,jarvis_alex,,0.3589329736763444,371.17557891000376,634.3226928710938,1.9012282
Al2CoV,0.003,dft,jarvis_alex,,0.2249865593710833,294.95721715433444,596.4025268554688,1.3489257
LuRh7,0.984,dft,jarvis_alex,,0.4040169451170939,218.4445809579857,383.8030395507813,7.196814
MoVW2,0.003,dft,jarvis_alex,,0.227940650474494,265.3337070888144,384.8399963378906,3.4266775
Fe2RuTi3,0.0,dft,jarvis_alex,,0.1598938542344976,319.3922992889444,524.8864135742188,2.0591614
N3Re3,11.27,dft,jarvis_alex,,0.7101461103076698,299.728054159108,517.0109252929688,5.596626
AlGaRh2,0.0,dft,jarvis_alex,,0.1754452010416916,225.64102673635088,420.3683471679688,1.4877245
Cd2PdRh,0.0,dft,jarvis_alex,,0.0728596970384699,154.7573868004897,261.2625427246094,0.8283098
AuBiCa2,0.0,dft,jarvis_alex,,0.1599303991513916,122.60521958498929,191.31776428222656,0.0004536
H6IrPtSr2,0.264,dft,jarvis_alex,,0.3144200698603087,348.334482595057,303.8979187011719,2.4579508
GaPdSc2,0.657,dft,jarvis_alex,,0.4188446812914065,119.27282464856604,320.6363830566406,2.4454405
Al2Rb2Si2,0.022,dft,jarvis_alex,,0.2620285326347928,216.3837777624929,301.5429992675781,1.0984949
CoNaS2,0.0,dft,jarvis_alex,,0.1471456379052022,300.80941136468823,401.1665954589844,0.0
AlMgPd2,0.011,dft,jarvis_alex,,0.2524240846995066,180.9280088293056,346.9208068847656,0.89624566
NSnTi2,1.984,dft,jarvis_alex,,0.4308400622496416,311.6159480651222,493.50396728515625,3.6724355
CoO2Pd,0.0,dft,jarvis_alex,,0.1072556157372005,339.94751111409147,391.21429443359375,0.69680446
CuGaLiRh,0.002,dft,jarvis_alex,,0.2248889981282691,187.73376669421296,321.5563659667969,2.3191745
LiMgRhSb,0.496,dft,jarvis_alex,,0.3816852080827981,153.66467763688794,319.9999694824219,1.8509637
AuBe2Pd,3.645,dft,jarvis_alex,,0.5865530567531061,165.39667291245678,283.1044006347656,1.2964584
GaNb6W,3.892,dft,jarvis_alex,,0.554630082589819,213.64825530740745,333.164794921875,5.995321
Ga2TaZn,0.039,dft,jarvis_alex,,0.279152442120617,172.6549496218165,357.8168334960937,1.1698747
MgPdRuSn,0.0,dft,jarvis_alex,,0.1759028794619851,168.18144261494143,321.159423828125,1.292878
Pt3Sc,0.003,dft,jarvis_alex,,0.2348597735512767,160.13879851884082,306.1659851074219,3.6677704
Ti6Zn2,1.788,dft,jarvis_alex,,0.437816252949876,259.8357756043342,415.1653747558594,8.4801855
Mg2NiPt,0.0,dft,jarvis_alex,,0.1495829664258454,131.8131993780998,317.2125549316406,2.137036
Al3Co2Ni,0.0,dft,jarvis_alex,,0.1510095348346068,298.1120251297645,607.30810546875,3.2810788
C2Ca2,0.256,dft,jarvis_alex,,0.3294991890355598,226.0160256112673,443.9414367675781,1.2112174
AlCu2Zn,0.001,dft,jarvis_alex,,0.2144431858064708,192.62685243056723,370.1265869140625,0.76576596
OsRuSi2,0.0,dft,jarvis_alex,,0.1850788996974549,212.4364287317815,455.269775390625,1.0321906
InSc6Zr,1.221,dft,jarvis_alex,,0.4274905086968861,200.00243209720452,329.7596130371094,7.984891
AuHfNi4,0.0,dft,jarvis_alex,,0.1586165641525079,219.72988813023764,313.8410339355469,6.695118
Ag2Co2S4,0.153,dft,jarvis_alex,,0.3360347859896184,115.63314981006704,285.8907775878906,-0.0290956
HfTi2Zn,3.884,dft,jarvis_alex,,0.565146006603269,199.89299076809067,335.4336853027344,4.663919
B2Co2Mg,0.0,dft,jarvis_alex,,0.1294513010717765,453.23395344847,694.323974609375,0.97349423
CLaY,1.565,dft,jarvis_alex,,0.45608123510983,186.5016085535378,262.4715270996094,2.464341
Be2Cr6,7.806,dft,jarvis_alex,,0.593887320242149,342.95704712523,669.3280029296875,7.9528365
Ni4PdW,0.005,dft,jarvis_alex,,0.2368649649484266,207.1977317169674,374.9010314941406,4.029712
CuZn2,0.005,dft,jarvis_alex,,0.2393929272524454,180.33820229143365,318.06597900390625,0.5080358
Mo2NbTi,6.97,dft,jarvis_alex,,0.7032942682722604,190.64099739672525,416.7723693847656,5.9142656
